Appareil suivi unique,Type,Moyenne consommation annuelle AN1,Moyenne consommation annuelle AN2
Barre De Son,Barre De Son,6.2,10.066666666666666
Home Cinéma,Home Cinéma,13.742857142857142,19.342857142857138
Bouilloires,Bouilloires,43.01956521739132,45.5304347826087
Box Internet,Box Internet,80.53474576271182,80.64406779661016
Box TV,Box TV,70.58804347826086,63.71956521739126
Cafetière_expresso,Cafetière_expresso,20.3609756097561,19.692682926829267
Cafetière_filtre,Cafetière_filtre,25.366666666666664,30.766666666666662
Cave à vin,Cave à vin,166.79999999999998,225.0625
Chambre froide,Chambre froide,702.0,857.95
Chaudières GAZ,Chaudières GAZ,144.93243243243242,159.38378378378377
Chaudières FIOUL,Chaudières FIOUL,302.42857142857144,309.5142857142857
Chaudières COGÉ GAZ,Chaudières COGÉ GAZ,-901.5,0.0
Chauffage électrique,Chaudières COGÉ GAZ,1587.0666666666668,1417.7964285714286
Clim_fixe,Clim_fixe,240.7444444444444,209.41111111111113
CLIMATISEUR SUR PRISE,CLIMATISEUR SUR PRISE,46.82222222222222,124.49999999999997
DÉSHUMIDIFCATEUR,DÉSHUMIDIFCATEUR,469.5333333333333,542.6
RAFRAICHISSEUR SUR PRISE,RAFRAICHISSEUR SUR PRISE,12.566666666666668,2.3666666666666667
Congélateur ARMOIRE ,ARMOIRE,257.50249999999994,238.52750000000006
Congélateur COFFRE,COFFRE,243.6583333333333,253.17499999999995
Console de jeux,Console de jeux,59.887499999999996,58.22499999999999
Cuisinières,FOUR ÉLECTRIQUE + PLAQUES GAZ,121.7,159.1
Cuisinières,FOUR ÉLECTRIQUE + PLAQUES GAZ + 1 PLAQUE ÉLECTRIQUE,180.0333333333333,140.93333333333334
Cuisinières,FOUR+PLAQUES ÉLECTRIQUES,122.2875,166.60000000000002
Divers cuisine,BLENDER,1.2,1.6
Divers cuisine,CUISSEUR VAPEUR,12.7,10.125
Divers cuisine,DESHYDRATEUR,19.0,0.0
Divers cuisine,FRITEUSE,20.639999999999997,9.6
Divers cuisine,GRILLE PAIN,1.725,3.4250000000000003
Divers cuisine,MACHINE À PAIN,4.2,0.0
Divers cuisine,PLANCHA ÉLECTRIQUE,0.0,0.13333333333333333
Divers cuisine,RACLETTE,1.6,1.7
Divers cuisine,RICE COOKER,11.350000000000001,11.350000000000001
Eau chaude sanitaire CETI,CETI,751.8000000000001,406.75
Eau chaude sanitaire JOULE / CETI,JOULE / CETI,1990.6,599.8
Eau chaude sanitaire JOULE,JOULE,1523.8298245614033,1230.319298245614
Eclairage,Eclairage,123.83166666666666,126.15583333333335
Enceintes,Enceintes,7.833333333333333,12.266666666666666
Four Micro-ondes,Four Micro-ondes,33.018867924528294,29.7990566037736
Fours,Fours,120.1076923076923,135.02692307692314
Hifi,HIFI,22.44318181818182,24.518181818181816
Hifi,HIFI 2,5.3,5.1
Hottes,Hottes,13.123076923076923,13.673076923076923
ImprimantesJET D'ENCRE,JET D'ENCRE,10.302083333333332,3.7416666666666667
ImprimantesLASER,LASER,14.777777777777779,7.355555555555558
Lave linge HUBLOT,Lave linge HUBLOT,87.92558139534886,88.37558139534883
Lave linge SÉCHANTE,Lave linge SÉCHANTE,69.55000000000001,138.875
Lave vaisselle,Lave vaisselle,129.75,138.08222222222219
Loisirs,Aquarium avec chauffage,362.025,789.75
Loisirs,Aquarium juste pompe,19.200000000000003,28.660000000000004
Loisirs,Balneo,36.8,38.3
